x	Average	StDev
0.0	0.0004991333333333334	4.6188021535164926e-07
0.01	0.14603666666666668	0.0029958556996846817
0.02	0.16493780000000002	0.0028642887825776364
0.03	0.17410249999999997	0.003619547546310189
0.04	0.18846766666666667	0.005592350341612484
0.05	0.19554119999999997	0.01996023760655165
0.06	0.19579003333333336	0.00631163499683982
0.07	0.2082536	0.00454780594023097
0.08	0.2148744	0.004570086739877052
0.09	0.21668656666666666	0.0066383885524525866
0.1	0.21903686666666666	0.011732292652901809
0.11	0.22554843333333333	0.013702052944844926
0.12	0.22331250000000002	0.015886765912544957
0.13	0.22310656666666664	0.015696336439224703
0.14	0.23221376666666668	0.007531783152304192
0.15	0.23103836666666666	0.008769827017868352
0.16	0.23124803333333332	0.0070920039723151055
0.17	0.2309062333333333	0.011225865981889014
0.18	0.2288445	0.004026231484900015
0.19	0.23503719999999997	0.004611898185129413
0.2	0.2421161666666667	0.009150288601641672
0.21	0.24646899999999997	0.01564080164601547
0.22	0.2432128	0.016428897840999566
0.23	0.24051916666666665	0.01665195504147586
0.24	0.24198926666666667	0.018545043496668672
0.25	0.24122906666666666	0.021495823997310103
0.26	0.24510619999999997	0.02554240612863243
0.27	0.24506419999999998	0.0233367780708906
0.28	0.25392620000000005	0.02597771668045519
0.29	0.25674573333333334	0.024200140175695946
0.3	0.2510928333333333	0.023918685890812086
0.31	0.2566234666666667	0.019240135468424693
0.32	0.2565600666666667	0.016777438679766735
0.33	0.25682546666666667	0.013947715986617058
0.34	0.26135586666666666	0.017794403484616528
0.35	0.2674509	0.014829520974394293
0.36	0.2624888666666667	0.01627496818716809
0.37	0.26665316666666666	0.014828932280624043
0.38	0.2723345333333333	0.017357319442913233
0.39	0.2682234666666667	0.018631815761844937
0.4	0.26661293333333336	0.020997395834801345
0.41	0.26732686666666666	0.01865198377715715
0.42	0.26469329999999996	0.02037276907639214
0.43	0.26839816666666666	0.023011652707342265
0.44	0.26649566666666663	0.02383434119717457
0.45	0.2693722333333333	0.01678582406446981
0.46	0.2694261333333334	0.021149918588574585
0.47	0.26657836666666673	0.0201184303265273
0.48	0.26696923333333333	0.01584237142139188
0.49	0.2740145333333333	0.011450614013813112
0.5	0.2816249333333333	0.0241983722618554
0.5100001000000001	0.28330173333333336	0.020393420858289924
0.52	0.28392519999999993	0.024920045177326638
0.53	0.28638196666666665	0.01813983370412563
0.54	0.2884058333333333	0.020933874284119813
0.55	0.28217420000000004	0.016421320969702786
0.56	0.27507446666666663	0.01640997213048619
0.5700001	0.2783373333333334	0.028064147414866077
0.58	0.2808629999999999	0.017231754221784853
0.59	0.28607553333333335	0.024665784359783373
0.6	0.29445113333333334	0.02305551387441484
0.61	0.2913250666666667	0.026594494568863893
0.62	0.29054216666666666	0.022145381212869963
0.6300001000000001	0.2900814	0.018985343101455915
0.64	0.28903956666666664	0.021079476582053298
0.65	0.2847928666666667	0.01951130925010758
0.66	0.28793399999999997	0.020185032537006205
0.67	0.28942893333333336	0.01488083674876292
0.68	0.2885438333333333	0.015391208359428227
0.6900001	0.2998849	0.02091664021562737
0.7	0.29708836666666666	0.025493481656363306
0.71	0.29668483333333334	0.020509667293579684
0.72	0.30076966666666666	0.02514946607630736
0.73	0.2963479	0.035217770282060745
0.74	0.2965816	0.03883860820098989
0.7500001000000001	0.30045003333333337	0.035950931237220145
0.7600001000000001	0.3030450333333334	0.033632083082130525
0.77	0.3003712333333333	0.029423866990137996
0.78	0.2938309666666667	0.032633022574431146
0.79	0.29642376666666664	0.025939920540035043
0.8	0.2962704666666667	0.016272261860089773
0.8100001	0.2981476	0.02289799548366625
0.8200001	0.296413	0.024669703759267136
0.83	0.2940139	0.022453464713268655
0.84	0.29233149999999997	0.01742265499974102
0.85	0.2944891333333333	0.012905362018298203
0.86	0.30260243333333336	0.027653460360384078
0.8700001	0.30377383333333335	0.026810969982515233
0.8800001000000001	0.29741239999999997	0.03325640352894465
0.89	0.3060956666666667	0.029755556821597775
0.9	0.30191393333333333	0.033557943822787074
0.91	0.30573100000000003	0.03081597511502758
0.92	0.31127933333333335	0.026909039985538914
0.9300001	0.31574033333333335	0.038028493847420984
0.9400001	0.30906833333333333	0.047079434960535925
0.95	0.3029446666666667	0.03287030513127817
0.96	0.3097983	0.03247067506089149
0.97	0.30855556666666667	0.025050065986805987
0.98	0.31235816666666666	0.024802356847754094
0.9900001	0.31273900000000004	0.01948303441766709
1.0	0.31396513333333337	0.024455997107117402
1.01	0.31395663333333335	0.01579171932670198
1.0200001	0.31651406666666665	0.01812917079194009
1.0300001	0.3189413	0.024699298563117096
1.0400001	0.3238698	0.023930320833411338
1.0500001	0.3272431	0.020828314363145178
1.0600001000000001	0.3188046333333333	0.03127048157245639
1.0700001000000001	0.3189655333333334	0.023205335460909284
1.08	0.3214093	0.028214940953863434
1.09	0.32085146666666664	0.021287993901806062
1.1	0.32198893333333334	0.025860183439862374
1.11	0.3234440333333333	0.026204392934455357
1.12	0.32591506666666664	0.018575523892836326
1.13	0.3346719	0.018236644581994758
1.1400001	0.33078199999999996	0.022346799130748024
1.1500001	0.3343918666666667	0.019021796223893626
1.1600001	0.3260187666666667	0.019349232488740604
1.1700001	0.32340583333333334	0.019448468038982734
1.1800001	0.32379533333333327	0.013498146985913772
1.1900001	0.3209144666666667	0.011850512897057812
1.2	0.31688086666666665	0.00929147734288437
1.21	0.3150344	0.013211651006214135
1.22	0.32459163333333335	0.017731160291795132
1.23	0.3246595666666667	0.02706621742788106
1.24	0.3192861	0.017317409061115344
1.25	0.3188376666666667	0.007025860023038709
1.2600001	0.32508063333333337	0.015981280929992247
1.2700001	0.32603866666666664	0.016978837285377708
1.2800001	0.33163213333333336	0.02294909020992628
1.2900001	0.33149936666666663	0.01469846368207684
1.3000001	0.32707916666666664	0.023733137993180217
1.3100001000000001	0.32902000000000003	0.021529071291860227
1.3200001000000001	0.33443810000000007	0.02251346767537155
1.33	0.3391366333333334	0.027606122914008283
1.34	0.3380254333333334	0.01814901600096632
1.35	0.3415317666666667	0.023317620582798203
1.36	0.3396900333333333	0.028113309171339685
1.3700001	0.34519703333333335	0.036658843602374196
1.3800001	0.3472154666666667	0.03790423706992838
1.3900001	0.3406227333333333	0.0370804414852808
1.4000001	0.3369122666666667	0.030717116470517416
1.4100001	0.33553343333333335	0.029807390514154937
1.4200001	0.3411792333333334	0.034819268746820814
1.4300001	0.33377033333333334	0.031236434400605546
1.4400001	0.3379263666666667	0.028176249638717576
1.45	0.3424934333333333	0.0368520448580989
1.46	0.34269383333333336	0.030661101043885124
1.47	0.3355400333333334	0.0312826979797672
1.48	0.34474050000000006	0.03904546104850091
1.4900001	0.34280996666666663	0.03226616303627275
1.5000001	0.35299299999999995	0.039166758073524544
1.5100001	0.3509157	0.03434660758313698
1.5200001	0.3593134333333334	0.03911952673363184
1.5300001	0.35410176666666665	0.037985472095570114
1.5400001	0.35089753333333334	0.04351045794752493
1.5500001	0.35624553333333336	0.029558483258166898
1.5600001000000001	0.350856	0.030443331225573866
1.5700001000000001	0.3492428666666667	0.04115494073113617
1.58	0.3407659333333333	0.03014924907395426
1.59	0.3403385666666667	0.03729678216312146
1.6	0.34371189999999996	0.04623796881319506
1.6100001	0.34448000000000006	0.046032212322676846
1.6200001	0.34706926666666665	0.04120585258022617
1.6300001	0.3374053666666667	0.03522172367294552
1.6400001	0.34286206666666663	0.03344927350860304
1.6500001	0.342385	0.03507149586387784
1.6600001	0.3391667	0.03389007837214307
1.6700001	0.3434013	0.042061081384933516
1.6800001	0.3369786666666667	0.03519682624120152
1.6900001	0.3364313666666667	0.042242613511042734
1.7	0.3434488	0.0387492378558598
1.71	0.34770406666666664	0.03966906091481538
1.72	0.3447985	0.035649972572079205
1.7300001	0.34101716666666665	0.02974023309968053
1.7400001	0.34343406666666665	0.02522165795191375
1.7500001	0.34013363333333335	0.02891094953928932
1.7600001	0.3395326	0.03195445507953468
1.7700001	0.3424599	0.031164035040571976
1.7800001	0.34769673333333334	0.03155030967856469
1.7900001	0.3508856333333334	0.03760481708097161
1.8000001	0.3488786666666667	0.038219764962952534
1.8100001000000001	0.3449585333333333	0.03713825490950449
1.8200001000000001	0.3464872333333333	0.035341998019683823
1.83	0.3530900666666667	0.03533584010396997
1.84	0.3510627333333333	0.04060328480324384
1.8500001	0.3487216	0.03899589482855857
1.8600001	0.3469310333333333	0.04462701922124459
1.8700001	0.34353340000000004	0.04186407827230884
1.8800001	0.34300586666666666	0.03408328647670782
1.8900001	0.3439669	0.03144124562624706
1.9000001	0.34027013333333334	0.04545692273354339
1.9100001	0.3350439	0.033521962233288176
1.9200001	0.33826019999999996	0.029359014322010196
1.9300001	0.33781083333333334	0.0350583950762629
1.9400001	0.3323373333333333	0.03514700224376656
1.95	0.33997036666666663	0.033895556006994995
1.96	0.34775953333333326	0.040734205219978614
1.9700001	0.34910123333333337	0.03651375441560802
1.9800001	0.3447747666666667	0.029554336001563885
1.9900001	0.34959293333333336	0.038303796174052156
